gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,cusip,conm,curcd,fyr,at,revt,sale,cik,costat,ggroup,gind,gsector,gsubind,naics,sic
001878,20210131,2020,INDL,C,D,STD,ADSK,052769106,AUTODESK INC,USD,1,7279.8000,3790.4000,3790.4000,0000769397,A,4510,451030,45,45103010,519130,7370
001891,20100630,2010,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,26862.2000,8927.7000,8927.7000,0000008670,A,4510,451020,45,45102020,518210,7374
001891,20110630,2011,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,34238.3000,9879.5000,9879.5000,0000008670,A,4510,451020,45,45102020,518210,7374
001891,20120630,2012,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,30815.5000,10665.2000,10665.2000,0000008670,A,4510,451020,45,45102020,518210,7374
001891,20130630,2013,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,32268.1000,11310.1000,11310.1000,0000008670,A,4510,451020,45,45102020,518210,7374
001891,20140630,2014,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,32051.7000,12206.5000,12206.5000,0000008670,A,4510,451020,45,45102020,518210,7374
001891,20150630,2015,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,33110.5000,10938.5000,10938.5000,0000008670,A,4510,451020,45,45102020,518210,7374
001891,20160630,2016,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,43670.0000,11667.8000,11667.8000,0000008670,A,4510,451020,45,45102020,518210,7374
001891,20170630,2017,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,37180.0000,12379.8000,12379.8000,0000008670,A,4510,451020,45,45102020,518210,7374
001891,20180630,2018,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,37088.7000,13325.8000,13325.8000,0000008670,A,4510,451020,45,45102020,518210,7374
001891,20190630,2019,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,41887.7000,14175.2000,14175.2000,0000008670,A,4510,451020,45,45102020,518210,7374
001891,20200630,2020,INDL,C,D,STD,ADP,053015103,AUTOMATIC DATA PROCESSING,USD,6,39165.5000,14589.8000,14589.8000,0000008670,A,4510,451020,45,45102020,518210,7374
